Year,Month,MKT,ME,I/A,ROE
2014,2,4.61,-0.31,-0.63,-1.50
2014,3,0.44,-0.17,2.67,1.74
2014,4,0.16,-4.68,0.80,1.09
2014,5,2.02,-1.99,-0.85,-0.53
2014,6,2.79,2.35,-2.51,-2.42
2014,7,-2.05,-3.66,0.58,1.02
2014,8,4.02,0.32,-1.03,-0.11
2014,9,-2.51,-3.15,-0.32,3.03
2014,10,2.12,3.47,0.51,1.39
2014,11,2.12,-1.86,-0.18,2.51
2014,12,-0.36,2.80,0.59,-0.73
